protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,is_host_login,is_guest_login,num_shells,num_outbound_cmds,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_access_files,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
udp,domain,OTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.1,0.9,1.0,1,10,1.0,0.9,0.1,1.0,0.0,0.0,0.0,0.0
